Field 1,Field 0,Field 1 2,Ingredient (as per 100 g),Synonyms,Fruit/Veg,Red/Processed Meat,Not food/drink,No Data Available,Energy (Kj),Energy (Kcal),Carbohydrate (g),Of which sugars (g),Fibre (g),Protein (g),Total fat (g),Of which saturates (g),Monounsaturated fat (g),Polyunsaturated fat (g),Omega 3 (g),Omega 6 (g),Trans-fats (g),Salt (g),Alcohol (g),Calcium (mg),Chloride (mg),Phosphorus (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Iron (mg),Selenium (ug),Iodine (ug),Vitamin A (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K1,Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Folates (B9) (ug),Vitamin B12 (ug),Vitamin C (mg),Nutritics ID,Comments,Source URL,Source URL 2,Source URL 3,Source URL 4,Source URL 5
381,1023,1123,oysters,"Anomia ephippium, family Ostreidae, saddle oyster, blue point, Pinctada margaritifera, lamellibranch, pelecypod, seed oyster, capiz, huitre, Virginia oyster, Ostreidae, window oyster, bluepoint, Japanese oyster, pearl oyster, Placuna placenta, windowpane oyster, bivalve, Ostrea gigas",,,,,277,66,2.7,0,,11,1.3,0.2,0.2,0.4,0.37,0.05,0,1.3,0,140,820,210,510,260,42,5.7,23,60,75,1,0.85,,0.15,0.19,4.1,0.37,0.16,10,,17,0,64495,Raw,,,,,
382,1024,1124,lemon extract,"flavouring, flavorer, flavourer, seasoner, flavoring, seasoning",,,,,145,34,7.1,5.2,0,0.5,0.5,0,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,2362263,,,,,,
383,1025,1125,blanched almonds,,,,,,2701,654,6.5,4,13,25,56,4.4,38.2,10.5,0.27,10.2,0,0.04,0,240,18,550,14,780,270,3,2,2,54,0,24,0,0.1,0.06,2.9,0.44,0.15,64,48,0,0,62674,,,,,,
384,1027,1127,dry milk,"nonfat dry milk, milk, powdered milk, milk powder, dried milk",,,,,1486,350,51,50,0,36,0.6,0.4,0.2,0,0,0,0,1.4,0,1280,1070,970,550,1590,130,0.27,11,150,551,1.5,0.01,0,0.38,1.6,9.6,3.3,0.6,20.1,51,2.6,13,64331,,,,,,
385,1028,1128,basil leaf,,,,,,169,40,5.1,0,0,3.1,0.8,0,,,,,0,0.02,0,250,,37,9,300,11,5.5,,,660,0,,0,0.08,0.31,,,,,,0,26,62775,,,,,,
386,1030,1130,green chiles,,,,,,101,24,0.7,0.7,2.3,2.9,0.6,0,,,,,0,0.02,0,30,15,80,7,220,24,1.2,,,29,0,,,0.07,0.08,1.6,,,,29,0,120,64640,,,,,,
387,1031,1131,smoked ham,,,checked,,,452,107,1,1,0,18,3.3,1.1,1.4,0.52,0.06,0.44,0,2,0,7,980,340,800,340,24,0.7,11,5,0,0,0.04,0,0.8,0.17,9.6,1,0.61,3,19,1,0,63956,,,,,,
388,1033,1133,fruits,"spike, schizocarp, pod, wild cherry, seed, olive, stone fruit, gourd, cubeb, juniper berry, capitulum, hip, pome, multiple fruit, ear, rowanberry, fruitlet, edible fruit, hagberry, aggregate fruit, May apple, false fruit, buckthorn berry, oil nut, prairie gourd, berry, syncarp, drupe, elk nut, accessory fruit, pyxidium, seedpod, blue fig, achene, marasca, acorn, yellow berry, rosehip, reproductive structure, chokecherry, pyxis, buffalo nut, rose hip, quandong, pseudocarp",checked,,,,275,65,14,14,1.8,0.7,0.5,0,,,,,,0,0,12,55,15,1,155,9,0.16,0,,4,0,,0,0.09,0.03,0.4,,0.09,,17,0,24,63858,,,,,,
389,1034,1134,dinner rolls,bread roll,,,,,1125,266,50,2.6,2.9,10,2.2,0.51,0.48,0.72,,,0,1,0,177,540,104,400,164,22,1.7,4,4,0,0,0.23,0,0.22,0.07,4.2,0.42,0.03,0.9,31,0,0,63045,,,,,,
390,1036,1136,granny smith apples,,checked,,,,225,53,12,12,1.2,0.6,0.5,0.1,,,,,,0,0,,6.1,,4,,,,,,,,,,,,,,,,,,,3021503,,,,,,
391,1037,1137,sweet pickle,"pickle, bread and butter pickle",,,,,501,118,27,24,1.2,0.6,0,0,0,0,0,0,0,2.8,0,15,1230,12,1130,94,6,0.6,,,42,0,,0,0.03,0.01,0.2,,0.01,0,0,0,0,64654,,,,,,
392,1039,1139,light sour cream,,,,,,562,135,6.5,0,0,3.5,11,6.6,3.1,0.4,,,,0.18,0,141,,71,71,212,10,0.07,3.1,,90,0.2,0.3,0.5,0.04,0.12,0.07,,0.02,,11,0.42,0.9,5413,,,,,,
393,1040,1141,ground mustard,mustard powder,,,,,1872,449,19,0,0,29,29,1.5,19.8,5.4,,,0,0.01,0,330,62,180,5,940,260,9.5,,,,0,,,,,,,,,0,0,0,64403,,,,,,
394,1041,1142,cremini mushrooms,,checked,,,,88,21,3,0.5,0.7,2.5,0,0.04,0,0.11,,,0,0,0,3,125,94,4,378,10,0.21,17,2,0,0,0.01,0.28,0.13,0.27,3,2.4,0.1,11.7,40,0,1,64395,,,,,,
395,1043,1144,lima beans,"Fordhooks, Phaseolus limensis, lima bean plant, shell bean, butter bean",,,,,356,84,12,1.1,4.1,5.9,0.5,0.1,0,0.2,,,0,0,0,15,,68,0,290,27,1.5,3,,0,0,0.33,0,0.05,0.03,1.1,,0.05,,12,0,0,62794,,,,,,
396,1044,1145,gruyere cheese,,,,,,1685,406,0,0,0,27,33,20.8,9.7,1,,,,1.7,0,950,1040,610,670,99,37,0.3,,,363,0.3,0.58,0,0.03,0.39,6.4,0.35,0.11,1.5,12,1.6,0,63275,,,,,,
397,1045,1146,brown mustard,dijon mustard,,,,,623,150,3.5,1.9,0,7,11,0.6,5.8,1.6,,,,5.7,0,70,4104,190,2280,200,82,2.9,,,,0,,,,,,,,,0,0,0,131927,,,,,,
398,1046,1147,vinaigrette,"salad dressing, sauce vinaigrette, dressing, French dressing",,,,,857,206,11,10,0.7,2.9,16,2.2,11.4,1.4,0.1,1.1,0,0.48,0,18.7,260,35.7,193,81,14.3,0.74,0.25,0.1,0.12,0,0.74,8.4,0.01,0.01,0.38,0.01,0.02,0.02,0.92,0,2.9,19406,,,,,,
399,1048,1149,seasoned salt,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8,0,135,58370,,37900,100,60,4.6,,53,0,0,0,,0,0,0,0,0,0,0,0,0,8153,Himalayan pink salt,,,,,
400,1049,1150,crumbled blue cheese,,,,,,1411,341,0,0,0,20,29,19.1,7.5,0.95,,,1.1,3.1,0,488,1950,344,1220,88,20,0,7,12,291,0.2,0.71,4.1,0.03,0.41,6.1,0.53,0.1,2.7,55,1.3,0,63266,,,,,,
401,1050,1151,pesto sauce,,,,,,1706,414,3.7,2.3,1.1,3.6,43,6.5,16.6,17.6,0.17,17.2,0.29,2.1,0,209,950,141,840,180,44,1.1,4,4,197,0.7,16.7,,0.06,0.12,1.8,0.2,0.03,3,16,0,0,64648,,,,,,
402,1053,1155,chorizo sausage,,,checked,,,1645,397,2.2,1.1,1,24,32,12,14.5,4.9,,,,3.5,0,,,,1400,240,,,,,,0,,0,,,,,,,3,,,63421,,,,,,
403,1054,1156,tarragon leaves,,,,,,205,49,6.3,0,0,3.4,1.1,0,,,,,,0.02,0,170,,46,9,450,51,,,,62,0,,0,0.15,,,,,,,0,2,65364,,,,,,
404,1055,1157,cantaloupe,"Cucumis melo cantalupensis, sweet melon, Cucumis melo, cantaloup vine, muskmelon, sweet melon vine, cantaloup, cantaloupe vine",checked,,,,93,22,4.2,4.2,1,0.6,0,0.1,,,,,,0.1,0,,61,,40,,,,,,,,,,,,,,,,,,,2578059,,,,,,
405,1056,1158,light mayonnaise,,,,,,1069,259,5.8,2.3,0,0.5,26,2.6,16.1,7,1.8,5.2,1.6,1.7,0,10.1,1243,20.1,680,36.7,11.8,0.36,0.62,2.7,7.3,0.07,5.6,28.2,0.03,0.02,0.48,0.06,0.02,0.7,4.6,0.09,0,38474,,,,,,
406,1057,1159,white onions,,checked,,,,173,41,7.9,6.1,2.2,1,0,0,0,0.07,,,0,0,0,30,54,23,3,138,8,0.3,0,2,2,0,0.29,0,0.11,0.02,0.6,0.04,0.1,1,11,0,3,64477,,,,,,
407,1058,1160,bacon bits,,,checked,,,1830,435,0.5,0.5,,30,35,14,,,,,,6,0,,3636,,2400,,,,,,,,,,,,,,,,,,,2574129,,,,,,
408,1062,1164,condensed cream of chicken soup,,,,,,239,57,4.1,1.1,0,1.7,3.8,0.6,2,1,,,0.1,0.6,0,27,370,27,240,41,5,0.4,0,2,42,0,0.55,0,0.01,0.03,0.5,0.04,0.01,0,1,0,0,65238,,,,,,
409,1065,1167,fresh tomatoes,,checked,,,,125,30,3.6,3.6,1.3,1.1,0.5,0.1,0.1,0.2,,,0,0,0,10,95,31,4,274,12,0.34,0,2,80,0,0.89,0,0.05,0.02,0.5,0.19,0.06,1.8,24,0,15,65402,,,,,,
410,1068,1170,ground lamb,,,checked,,,817,196,0,0,0,19,13,6.2,5.3,0.6,,,1.1,0.17,0,17,68,190,69,310,21,1.6,2,6,5,0.8,0.18,,0.12,0.18,8.5,0.9,0.2,2,2,2,0,64123,,,,,,
411,1069,1171,roasted garlic,,,,,,135,32,,,,7.9,,,0,0.3,,,0,0,0,19,0,170,4,620,25,1.9,2,3,0,0,0.01,,0.13,0.03,2.2,,0.38,,5,0,17,63866,,,,,,
412,1070,1172,beef tenderloin,"undercut, fillet, filet, tenderloin",,checked,,,745,177,0,0,0,31,5.9,2.5,2.5,0.5,,,0.2,0.19,0,7,62,260,74,430,29,3.6,10,12,1,0.4,0.07,,0.13,0.28,13.8,0.91,0.65,2,5,3,0,62888,,,,,,
413,1071,1173,triple sec,,,,,,1379,330,80,80,0,0,0,0,0,0,0,0,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,https://one.erudus.com/search/products/2c1db14be6b64a0f89f90089b22e123f,,,,
414,1072,1174,vanilla wafers,,,,,,2188,523,61,31,,7.5,27,23,,,,,,0.4,0,,242,,160,,,,,,,,,,,,,,,,,,,3015307,,,,,,
415,1073,1175,frozen blueberries,,checked,,,,181,43,7.6,,3.1,0.5,0.5,0.02,0.05,0.32,,,,0,0,,,20,3,86,9,0.6,,,1.1,,0.1,,0.04,0.07,0.38,,0.06,,6,,,"77586
",,,,,,
416,1074,1176,boneless pork loin,,,checked,,,764,182,0,0,0,30,6.8,2.4,2.6,1.1,,,0,0.15,0,12,60,230,61,370,25,0.8,19,5,0,0.7,0.03,0,0.78,0.2,6.5,1.9,0.37,5,2,1,0,64819,,,,,,
417,1075,1177,boneless skinless chicken thighs,,,,,,676,161,0,0,,28,5.5,1.4,1.7,1.3,,,,0.44,0,15.6,,238,177,327,34.3,1.5,18.4,33.1,24,0.7,0.4,4.1,0.06,0.24,11.5,,0.47,,10.6,0.4,,73159,,,,,,
418,1076,1178,serrano chile,serrano pepper,,,,,,32,6.7,3.83,3.7,1.74,0.44,0.059,0.023,0.222,0.006,0.216,0,,0,11,,40,10,305,22,0.86,0.4,,47,0,0.69,11.8,0.054,0.081,1.537,,0.505,,23,0,44.9,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103369/nutrients,,,,
419,1077,1179,mint extract,,,,,,953,224,56,56,0,0,0,0,0,0,0,0,0,0,0,5.1,11.7,2.7,1.9,34.2,1.3,0.16,0,0,1.2,0,0,0,0,0,0.03,0,0,0,0,0,0,76541,,,,,,
420,1078,1180,prawns,"Palaemon, decapod crustacean, river prawn, long",,,,,295,70,0,0,0,15,0.9,0.15,0.19,0.22,0.2,0.02,0,1.5,0,65,770,127,588,74,36,1,30,13,0,0,3.6,0.08,0,0.05,3.6,0.14,0.03,4,10,2.3,0,64928,,,,,,
421,1079,1181,saffron threads,,,,,,1429,338,60,42,0,11,5.9,0,,,,,,0.38,0,110,,250,150,1720,,11.1,,,0,0,,0,,,,,,,0,0,0,65076,,,,,,
422,1081,1184,fine salt,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0,10,59900,1,39300,89,76,0.3,,44,0,0,0,,0,0,0,0,0,0,0,0,0,65115,,,,,,
423,1082,1185,small red potato,,,,,,385,91,20,0.9,2,1.9,0.5,0,,,,,,0,0,,0,,0,443,,,,,,,,,,,,,,,0,,,2642742,,,,,,
424,1083,1186,cheese blend,,,,,,1716,414,0,0,0,25,35,21.7,9.4,1.1,,,1.4,1.8,0,739,1040,505,723,75,29,0.3,6,30,388,0.3,0.52,4.7,0.03,0.39,6.9,0.5,0.15,4.4,31,2.4,0,63263,,,,,,
425,1084,1187,cooked shrimp,,,,,,493,117,0,0,0,24,2.4,0.4,0.5,0.8,0.68,0.8,,9.6,0,320,5850,270,3840,400,110,1.8,46,100,,0,,0,0.01,0.01,5.4,0.24,0.08,1,9,3,0,65219,,,,,,
426,1086,1189,yukon gold,,,,,,283,68,13,0.5,2.1,2.4,0,0,0,0,0,0,0,0.02,0,,12.1,,8,,,,,,,,,,,,,,,,"0
",,,4315854,,,,,,
427,1087,1190,chopped fresh sage,,,,,,501,119,16,0,0,3.9,4.6,2.6,0.7,0.7,,,,0,0,600,,33,4,390,160,,,,215,0,,0,0.11,,,,,,,0,0,65078,,,,,,
428,1089,1192,butterscotch chips,,,,,,,539,67.1,67.1,0,2.2,29.05,24.1,2.271,1.041,0.034,0.974,,,0,34,,31,89,64,5,0.08,1.3,,0,0,0.68,6.5,0.015,0.075,0.049,,0.016,,1,0.1,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1104007/nutrients,,,,
429,1091,1194,unbleached flour,,,,,,1505,355,74,0.6,4,10,1.4,0.4,0.23,0.24,0,0.23,0,0,0,96,0,114,0,175,23,1.9,3,0,0,0,0.59,0.76,0.28,0.05,3.7,0.44,0.18,1.8,16,0,0,63832,,,,,,
430,1093,1196,beef brisket,,,,,,1117,268,0,0,,28,17,7.2,7.7,0.7,,,0.8,0.12,0,8,51,170,46,230,19,1.9,9,10,0,0.6,0.02,,0.04,0.2,9.7,0.49,0.19,2,15,2,0,62844,,,,,,
431,1095,1199,chipotle pepper,,,,,,1058,253,29,7.3,28,11,4.2,0.9,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,2356716,,,,,,
432,1096,1200,1% low-fat milk,,,,,,180,43,5,4.9,0,3.4,1,0.6,0,0,0,0,0,0,0,122,89,96,0,160,11,0.03,1,29,1,0,0,0.02,0.03,0.22,0.8,0.48,0.06,2.4,9,0.8,1,73878,,,,,,
433,1097,1201,dark sesame oil,,,,,,3692,898,0,0,0,0,100,14.6,37.5,43,0.3,43,0,0,0,10,,,2,20,0,0.1,0,0,0,0,,,0.01,0.07,0.1,0,0,0,0,0,0,64448,,,,,,
434,1098,1202,chicken pieces,,,,,,613,145,0,0,0,32,1.9,0.6,1,0.4,0.11,0.41,0.03,0.14,0,6,86,310,56,460,36,0.4,16,7,0,0.3,0.17,0,0.14,0.13,22,1.7,0.63,2,6,0,0,63336,,,,,,
435,1099,1203,cooked brown rice,,,,,,605,143,29,0,1.5,3.8,0.9,0.17,0.3,0.31,0.01,0.3,0,0,0,17,35,125,4,62,48,0.53,4,0,0,0,0.14,,0.11,0,3.2,0.15,0.04,0.9,7,0,0,65019,,,,,,
436,1101,1205,unsweetened coconut milk,,,,,,103,25,1.6,1.6,0.5,0.5,1.8,1.6,,,,,,0.04,0,97,24.2,8.5,16,,12.4,0.3,,,,0.2,,,,,,,,,,,,2532785,,,,,,
437,1102,1206,white corn,,,,,"x
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,1103,1207,grated orange peel,orange zest,,,,,394,94,14,,11,1.5,0,0.02,0.04,0.04,0,0,0,0,0,161,,21,3,212,22,0.8,1,,21,,0.25,,0.12,0.09,0.9,0.49,0.18,,30,0,136,8627,,,,,,
439,1105,1209,white cake mix,,,,,,1405,331,72,40,0,5.1,2.5,,,,,,,1.3,0,73,130,340,510,89,10,0.8,,12,,0,,0,0.26,0.01,1.7,,0.04,,12,0,0,65632,,,,,,
440,1106,1210,smoked bacon,,,checked,,,1215,292,0,0,0,23,22,8.3,9.3,2.9,,,0.1,3.5,0,7,2060,190,1390,330,21,0.7,12,7,0,0.6,0.07,0,0.9,0.16,11.3,1.2,0.46,5,2,1,0,62742,,,,,,
441,1107,1211,tomatoes with juice,,checked,,,,88,21,3,3,1,0.5,0,0.03,0.03,0.05,,,0,0,0,8,84,22,2,223,8,0.24,0,2,58,0,0.52,6,0.04,0.01,0.7,0.29,0.06,1.4,23,0,22,65406,,,,,,
442,1108,1212,frozen strawberries,,checked,,,,189,45,8.2,7.8,2,0.8,0,0,0,0,0,0,0,0,0,19,18,25,1,170,13,1,0,9,1,0,0.2,0,0.03,0.03,0.7,0.34,0.06,1.1,20,0,48,65901,,,,,,
443,1112,1216,rice cereal,,,,,,1568,369,84,12,1,6.1,1,0.22,0.24,0.31,0.01,0.3,0,0.93,0,9,540,141,370,146,41,11,2,0,0,4.6,0.16,0,1.1,1.4,16.9,,1.5,2,180,1.8,0,63099,,,,,,
444,1114,1218,red grape,,checked,,,,327,77,17,17,1.3,0.6,0,0.04,0.01,0.04,,,0,0,0,11,63,18,1,213,7,0.24,0,1,2,0,0.2,,0.09,0.01,0.3,0.12,0.04,0.2,6,0,3,63903,,,,,,
445,1115,1219,white mushrooms,,checked,,,,88,21,3,0.5,0.7,2.5,0,0.04,0,0.11,,,0,0,0,3,125,94,4,378,10,0.21,17,2,0,0,0.01,0.28,0.13,0.27,3,2.4,0.1,11.7,40,0,1,64395,,,,,,
446,1117,1221,cakes,"block, bar, tablet",,,,,1942,465,50,29,1.1,6.6,26,15.7,7,1.3,,,0.82,1.1,0,109,402,246,430,105,12,1,7,25,338,1.2,1.1,18.1,0.08,0.15,2.1,0.4,0.07,6.1,9,0.9,0,63177,"Sponge cake, homemade",,,,,
447,1118,1222,baking chocolate,"chocolate, cooking chocolate, bitter chocolate",,,,,2299,551,55,53,,4.4,35,28,4.1,0.7,0.03,0.63,0.8,0.33,0,,,,130,,,,,,,0,,,,,,,,,,0,0,65662,,,,,,
448,1119,1223,frozen raspberries,,checked,,,,197,47,4.9,4.9,7.1,1.2,0.5,0.1,0.1,0.1,,,,0.03,0,28,22,37,12,160,22,0.8,,,1,0,0.48,0,0.03,0.05,0.7,0.24,0.06,1.9,33,0,22,65842,,,,,,
449,1121,1225,seasoned bread crumbs,,,,,,1504,355,72,4.8,2.6,11,2.1,,,,,,,1,0,110,700,130,400,190,28,2.1,,,,0,,0,0.54,0.08,3.9,,0.07,,19,0,0,65611,,,,,,
450,1123,1227,candy bar,"candy, confect",,,,,2140,511,63,48,,6.6,26,15.6,,,,,,0.59,0,,358,,236,,,,,,,,,,,,,,,,,,,2548614,Hersheys bar,,,,,
451,1124,1228,part-skim mozzarella,low fat mozzarella,,,,,757,181,1.6,1.6,0,19,11,7.3,,,,,,0.5,0,,303,,200,,,,,,,,,,,,,,,,,,,3014016,,,,,,
452,1125,1229,powdered milk,"dry milk, nonfat dry milk, milk, milk powder, dried milk",,,,,1486,350,51,50,0,36,0.6,0.4,0.2,0,0,0,0,1.4,0,1280,1070,970,550,1590,130,0.27,11,150,551,1.5,0.01,0,0.38,1.6,9.6,3.3,0.6,20.1,51,2.6,13,64331,"Skimmed, fortified",,,,,
453,1126,1230,brewed coffee,,,,,,8,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,92,8,0.1,0,0,0,0,0,0.06,0,0.01,0.7,0,0,3,0,0,0,63470,,,,,,
454,1127,1231,onion salt,"flavouring, flavorer, flavourer, seasoner, flavoring, seasoning",,,,,435,103,19,2.8,,1.8,1.6,1.3,,,,,,72.4,0,,43862,,28952,,,,,,,,,,,,,,,,0,,,3051558,,,,,,
455,1129,1233,slaw mix,,,,,,229,54,11,9,2.2,0.7,0.5,0.1,,,,,,0.8,0,,485,,320,,,,,,,,,,,,,,,,,,,2579312,,,,,,
456,1130,1234,brownie,"fay, leprechaun, faerie, sandman, pixie, imp, pixy, elf, gremlin, sprite, faery, fairy, hob",,,,,2142,513,52,44,1.7,6.7,31,16.4,8.1,4,,,0.63,0.47,0,44,290,135,187,217,60,1.8,5,18,256,0.8,1.3,,0.07,0.12,1.8,0.37,0.08,4.4,14,0.6,0,63119,Homemade,,,,,
457,1132,1236,chili flakes,,,,,,2024,484,32,11,27,12,17,3.3,1.6,0,1.2,9.6,0,2.5,0,280,1515,300,985,1920,170,14.3,0,0,3500,0,0,0,0.35,0.79,10.5,0,0,0,0,0,0,30551,,,,,,
458,1133,1237,shredded carrots,,checked,,,,222,53,8,7,3.9,1,0.5,0.1,0.11,0.08,0.01,0.07,0,0.07,0,26,122,16,27,178,7,0.23,0,0,1961,0,0.09,5.5,0.13,0.01,0.4,0.27,0.06,0.3,8,0,2,63200,,,,,,
459,1135,1239,pepper cheese,,,,,,1534,367,1.6,0,,23,30,18.8,,,,,,1.9,0,,1151,,760,,,,,,,,,,,,,,,,,,,2353682,,,,,,
460,1136,1240,frozen corn kernels,,,,,,288,69,7.9,2,4,3.4,1.8,0.2,0.5,0.7,,,0,0,0,3,11,91,1,260,37,0.7,0,,4,0,0.33,0,0.16,0.05,2.3,0.73,0.02,,41,0,8,65338,,,,,,
461,1137,1241,shredded cabbage,,checked,,,,91,22,2.4,2.3,2.2,1.5,0,0.04,0,0.13,,,0,0.01,0,54,79,29,5,187,9,0.4,1,1,53,0,0.27,201,0.15,0.05,0.6,0.21,0.07,0,40,0,45,63152,,,,,,
462,1139,1243,turmeric powder,"ground turmeric
",,,,,1698,404,67,3.3,23,6.7,7,2.9,0.6,2.9,0.53,1.9,,0.08,0,170,58,290,31,2910,190,39.5,5,,3,0,3.3,15,0.09,0.11,5,,1.7,,0,0,0,65470,,,,,,
463,1141,1245,firmly packed light brown sugar,,,,,,1646,387,97,96,0,0,0,0,,0,0,0,0,0.08,0,56,,4,31,140,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65310,,,,,,
464,1143,1247,orzo pasta,,,,,,1537,362,72,0.5,1.6,14,1.5,0.2,0.22,,0.06,0.84,0,0,0,23,20,200,0,230,48,1.8,,0,,0,0,,0.49,0.06,4.9,0.3,0.11,1,,0,0,77554,,,,,,
465,1145,1249,vidalia onion,onion,checked,,,,173,41,7.9,6.1,2.2,1,0,0,0,0.07,,,0,0,0,30,54,23,3,138,8,0.3,0,2,2,0,0.29,0,0.11,0.02,0.6,0.04,0.1,1,11,0,3,64477,,,,,,
466,1146,1250,instant espresso,,,,,,38,9,1.7,0,0,0,0,0.09,0,0.09,,,0,0.04,0,2,,7,14,115,80,0.13,0,,0,0,0.01,0.1,0,0.18,5.2,0.03,0,,1,0,0.2,6560,,,,,,
467,1147,1251,pearl onions,,,,,,173,41,7.9,6.1,2.2,1,0,0,0,0.07,,,0,0,0,30,54,23,3,138,8,0.3,0,2,2,0,0.29,0,0.11,0.02,0.6,0.04,0.1,1,11,0,3,64477,,,,,,
468,1149,1253,grenadine,"syrup, sirup",,,,,1265,303,75,75,,0,0,0,0,0,0,,0,0.03,0,,18.2,,12,,,,,,,,,,,,,,,,0,,,2361926,,,,,,
469,1150,1254,baby arugula,rocket,checked,,,,89,21,0,0,1.7,3.6,0.5,0.07,0,0.21,0.07,,0,0.08,0,216,93,44,30,326,28,1.3,2,5,190,0,0.22,109,0.19,0.18,1.6,0.29,0.08,1.3,88,0,20,65065,,,,,,
470,1151,1255,sweet pepper,"capsicum pepper plant, pimento, pepper, genus Capsicum, Capsicum annuum grossum, capsicum, sweet pepper plant, Capsicum, pimiento, bell pepper, paprika",checked,,,,112,27,4.3,4.2,2.2,0.8,0,0.05,0,0.1,,,0,0,0,7,48,23,1,216,11,0.39,0,3,97,0,0.95,1.6,0.07,0.06,0.6,0.27,0.23,3.3,75,0,126,64633,,,,,,
471,1152,1256,rotini pasta,,,,,,729,172,34,1.1,2.5,6.1,0.8,0.11,0.09,0.32,0.02,0.3,0,0,0,12,49,88,1,114,23,0.78,11,0,0,0,0.15,,0.08,0.01,2.8,0.39,0.07,0.5,9,0,0,64552,,,,,,
472,1153,1257,mashed banana,,checked,,,,381,90,20,18,1.4,1.1,0,0.04,0,0.04,0.05,0.04,0,0,0,6,109,23,0,330,27,0.27,0,3,4,0,0.16,0.06,0.15,0.04,0.9,0.35,0.31,2.5,14,0,9,62762,,,,,,
473,1154,1258,quick oats,,,,,,1571,373,60,1,11,11,7.7,1.3,3,3.2,0.18,3,0,0.08,0,53,70,369,31.8,355,106,3.9,2.9,0,0,0,1.6,0,0.48,0.1,3.6,0.96,0.12,19.2,58,0,0,6250,,,,,,
474,1155,1259,simple syrup,,,,,,1040,245,61,61,0,0,0,0,0,0,0,0,0,0,0,3.1,0,,3.1,3.1,0.61,0.06,,0,0,0,0,,0,0,0,0,0,0,,0,0,7395,,,,,,
475,1156,1260,ramen,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,1157,1261,dried onion flakes,,,,,,1527,362,69,54,19,8.8,1.2,0,,0.61,,,0,0.25,0,263,130,201,100,1209,69,2.6,,16,15,0,2.5,0,0.23,0,3.2,0.7,,,,0,33,64470,,,,,,
477,1159,1263,tart apples,,checked,,,,253,60,13,11,1.2,0.6,0.5,0.12,0.04,0.2,,,0,0,0,5,44,8,1,100,4,0.09,0,4,2,0,0.09,5.6,0.04,0.04,0.1,0.1,0.07,1.1,0,0,6,62694,,,,,,
478,1160,1264,ground cayenne pepper,,,,,,1383,331,32,0,0,12,17,2.6,1.9,9.4,,,,0.08,0,150,,290,30,2010,150,34.1,4,,6135,0,,0,0.33,0.92,11.3,,,,0,0,0,64636,,,,,,
479,1161,1265,vermicelli,"pasta, alimentary paste",,,,,685,161,33,1.6,1.6,5.3,0.6,0.1,,,,,,0,0,,6.1,,4,,,,,,,,,,,,,,,,,,,3017681,,,,,,
480,1162,1266,red chili powder,,,,,,1290,312,15,7.5,35,14,14,2.5,3.2,8,1.2,9.6,0,10,0,330,5980,300,4000,1950,149,17.3,,,2965,0,,106,0.25,0.94,,0.89,2.1,,28,0,1,63399,,,,,,
481,1163,1267,part-skim mozzarella cheese,,,,,,1038,250,0.7,0.7,,19,19,14,,,,,,0.6,0,,364,,240,,,,,,,,,,,,,,,,,,,3040014,,,,,,
482,1164,1268,flax seeds,,,,,,2338,567,1.5 ,1.7,29,22,46,4.2,8.3,31.2,24,7.1,,0.08,0,265,,642,30,813,392,7,2.5,0,0,0,0.3,4.3,0.3,1,3.1,0.99,0.47,,87,0,0,4369,,,,,,
483,1165,1269,chile peppers,,,,,,129,31,4.2,4.2,1.9,1.8,0.5,0,0,0.2,,,,0.03,0,16,,39,12,440,21,1,,,685,0,,0,0.12,0.15,2.5,0.06,0.28,,23,0,225,64641,,,,,,
484,1167,1272,tortellini,"pasta, alimentary paste",,,,,817,194,26,0,1.6,8.6,5.8,3.2,1.6,0.65,0.06,0.57,0.13,0.6,0,110,406,122,239,99,21,0.77,11,18,79,0.2,1,0,0.08,0.08,2.4,0.4,0.02,1,12,0,0,64542,Filled and cooked,,,,,
485,1168,1273,ground flax,,,,,,2338,567,1.5,1.7,29,22,46,4.2,8.3,31.2,24,7.1,,0.08,0,265,,642,30,813,392,7,2.5,0,0,0,0.3,4.3,0.3,1,3.1,0.99,0.47,,87,0,0,4369,,,,,,
486,1169,1274,golden brown sugar,,,,,,1646,387,97,96,0,0,0,0,0,0,0,0,0,0.08,0,56,,4,31,140,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65310,,,,,,
